user_id;дата;день недели;начало сессии;конец сессии;время ;;;;;
665767;13.10.2025;Понедельник;18:20:00;19:52:00;1:32:00;;;;;
665767;17.10.2025;Пятница;21:25:00;0:25:00;3:00:00;;;;;
665767;23.10.2025;Четверг;18:50:00;18:58:00;0:08:00;;;;;
665767;27.10.2025;Понедельник;14:08:00;14:22:00;0:14:00;;;;;
665767;27.10.2025;Понедельник;14:34:00;16:34:00;2:00:00;;;;;
665767;31.10.2025;Пятница;18:47:00;19:00:00;0:13:00;;;;;
665767;31.10.2025;Пятница;19:02:00;19:07:00;0:05:00;;;;;
665767;06.11.2025;Четверг;19:12:00;19:46:00;0:34:00;;;;;
665767;16.11.2025;Воскресенье;16:55:00;17:40:00;0:45:00;;;;;
665767;27.11.2025;Четверг;5:42:00;5:54:00;0:12:00;;;;;
665767;05.12.2025;Пятница;2:10:00;2:11:00;0:01:00;;;;;
665767;05.12.2025;Пятница;2:12:00;2:14:00;0:02:00;;;;;
665767;05.12.2025;Пятница;5:08:00;5:12:00;0:04:00;;;;;
665767;14.12.2025;Воскресенье;6:18:00;7:04:00;0:46:00;;;;;
665767;14.12.2025;Воскресенье;9:18:00;10:45:00;1:27:00;;;;;
665767;26.12.2025;Пятница;9:22:00;9:25:00;0:03:00;;;;;
665767;26.12.2025;Пятница;12:22:00;12:28:00;0:06:00;;;;;
665767;07.01.2026;Среда;16:20:00;16:21:00;0:01:00;;;;;
665767;24.01.2026;Суббота;18:51:00;18:54:00;0:03:00;;;;;
665767;24.01.2026;Суббота;21:52:00;21:58:00;0:06:00;;;;;
665767;29.01.2026;Четверг;15:28:00;15:37:00;0:09:00;;;;;
665767;01.02.2026;Воскресенье;12:58:00;13:06:00;0:08:00;;;;;
665767;24.02.2026;Вторник;6:40:00;6:46:00;0:06:00;;;;;
665767;24.02.2026;Вторник;6:52:00;6:53:00;0:01:00;;;;;
665767;24.02.2026;Вторник;7:21:00;7:22:00;0:01:00;;;;;
665767;24.02.2026;Вторник;9:40:00;10:20:00;0:40:00;;;;;
665767;12.03.2026;Четверг;19:16:00;19:20:00;0:04:00;;;;;
665788;14.10.2025;Вторник;11:40:00;11:50:00;0:10:00;;;;;
